type,x,y
goal,4.0,2.5
position,0.4778981510848711,-2.735838515637716
position,0.4241058464134452,-2.7053635590512655
position,0.5238789931537381,-2.65213465054643
position,0.4372994131728934,-2.723120831365248
position,0.35029132959002307,-2.831117267983599
position,0.3044383358939319,-2.923159210796979
position,0.25880350837919236,-3.0777196114049685
position,0.23518546077989386,-3.1826192622725835
position,0.24964757165952434,-3.176437980340323
position,0.24449923528596212,-3.1404756943838272
position,0.25593097540357135,-3.1709067297898876
position,0.22063649791121234,-3.14326952559497
position,0.16052397906279298,-3.1037700703358135
position,0.13800354785756852,-3.081245902736464
position,0.08361958881400465,-3.054564513962989
position,0.005044207385298273,-3.0472067208098954
position,-0.09403911200756451,-3.0287565041470086
position,-0.12410494896651164,-3.0469277039055185
position,-0.08739814504745498,-3.0449897525838945
position,-0.025111613580001996,-2.9952773866522513
position,0.014613411425859958,-2.9679198414025474
position,0.024140019499116688,-2.909812804023262
position,0.034946998433185536,-2.850560789686736
position,0.01512731143756478,-2.7884336350528205
position,0.03758146318068075,-3.055449343789297
position,0.001637185969287155,-2.81038116829859
position,-0.09046363649093962,-2.557096796048778
position,-0.12320276614702472,-2.403523299978504
position,-0.23782532192855335,-2.233977873477698
position,-0.23771943738462703,-2.2089904009615493
position,-0.17559604015616143,-2.3070499013788863
position,-0.09356483012666962,-2.338752506185236
position,-0.03893857212161076,-2.464583602148129
position,0.07958262766338088,-2.407182750145733
position,0.20251917709197348,-2.6816410809437636
position,0.4231154294810114,-2.815324973289052
position,0.6875511461863197,-2.9816871975044155
position,0.8959537999192182,-3.0603404768540314
position,1.1569148915699086,-3.179860461232154
position,1.3475265439869306,-3.3215920094413742
position,1.6404601046226421,-3.316294765178037
position,1.8893826409100227,-3.2572956784401748
position,2.060699864466789,-3.1153932602083114
position,2.2836147206519963,-3.103271868699936
position,2.462900762125322,-2.9054691245036
position,2.562535884665884,-2.736292109310367
position,2.5786091400193154,-2.505275352649205
position,2.5094581285315476,-2.2848634968867794
position,2.5882974024279575,-2.094317225664863
position,2.5055398677126908,-2.2283541788816725
position,2.3907100241261685,-2.481367636446135
position,2.345714241657631,-2.359060987680322
position,2.327005386810976,-2.422062826708677
position,2.3341978913775883,-2.5815080918395963
position,2.406147086062125,-2.589509781629206
position,2.3603836833574423,-2.580448123828248
position,2.369746785442759,-2.856656177392032
position,2.3976666088107588,-3.1260757111886273
position,2.47377725403539,-3.3070835135968
position,2.444994273187568,-3.033537965310442
position,2.3879483122757423,-2.886495854793599
position,2.31138595092051,-2.6926920305756012
position,2.197182980711086,-2.4486289557358654
position,2.1178769615435327,-2.2542231495701905
position,2.039662263069536,-1.9681549410327288
position,2.0081213161975286,-1.7323802138118807
position,2.022405196274418,-1.5307677485508806
position,2.04912881319526,-1.2515311856380942
position,2.063839438760228,-1.1170797884718224
position,1.7871750596995495,-1.3044692724446179
position,1.6780767103492122,-1.4306395376990617
position,1.5907217044342508,-1.6187010305303808
position,1.3815978358472165,-1.8662078307366665
position,1.0985087206837891,-2.0675172773121995
position,1.0050423820019225,-2.130431712696829
position,0.8907856016734303,-2.236340352402069
position,0.7895389135210559,-2.4196966403177655
position,0.7395009165184244,-2.5677653217737606
position,0.7550992738204807,-2.862999497256119
position,0.7215835994995958,-2.708086806192622
position,0.8034906634738067,-2.5900383299828835
position,0.835756661944739,-2.5100929931901033
position,0.7358197754114637,-2.5866631111799885
position,0.7058274457611331,-2.605777919478419
position,0.5562295455641194,-2.6583727062027314
position,0.45108725071007977,-2.6133781035289148
position,0.5583721446506978,-2.7243539830729193
position,0.6481391810554953,-2.604208543451386
position,0.7429765401191465,-2.7697286890568154
position,0.8374910615486914,-2.8652126572558294
position,0.9133519000469466,-2.960643982717946
position,1.0726218071240972,-2.954877216671978
position,1.0802294511361943,-3.007087253586034
position,1.0478254161623335,-2.8591130225705763
position,0.9428247659968069,-2.585670433356082
position,0.9533097228565,-2.5502837251893626
position,0.8321951933832948,-2.291874395837067
position,0.7105601990895495,-2.04374722672437
position,0.551295442342986,-1.7630759826745068
position,0.410943022423699,-1.5620659689156053
position,0.4227532383058608,-1.4629093308697922
position,0.4177917220655812,-1.2913652167038865
position,0.43553454768334654,-1.0020469814431443
position,0.44036371160294324,-0.7514402742955036
position,0.3950446168282745,-0.5040721927095518
position,0.3458569393522108,-0.22854198072137125
position,0.30639543845767636,0.02003459978146946
position,0.308847168527535,0.2585721856981686
position,0.30557544998243247,0.3727193854056545
position,0.3179024048037712,0.5970916903062402
position,0.3967286911442359,0.7840754893769258
position,0.37745192059746663,0.7809533920244955
position,0.3264935465163115,0.7332196097684622
position,0.4785868449568932,0.8347584612439007
position,0.462021395086608,0.7799277666500559
position,0.41967349222413797,0.6224362856054407
position,0.4114659926224488,0.5067500972970553
position,0.4311438021848703,0.37944215211348603
position,0.4585609390865277,0.25444977451929457
position,0.499537765816116,0.12184034931520876
position,0.4862085180804253,0.05010734249264502
position,0.5243941555268395,-0.12445011877758819
position,0.5697948489173864,-0.293366985701202
position,0.5544556980544557,-0.3938655940916974
position,0.5985486220442775,-0.33624897211509047
position,0.8071331534532474,-0.017150942466155252
position,0.890111175916981,0.16399250753556624
position,0.8681424577025264,0.0564613484877241
position,0.8663621245197213,-0.036932204448249836
position,0.8718306908104642,-0.21834994318963433
position,0.8937156396555922,-0.4821283632287062
position,0.9119870163719642,-0.35390283722251975
position,0.8783576896519245,-0.5007180902805703
position,0.7318296269076375,-0.764272202089519
position,0.5673691206771707,-1.0218416323111117
position,0.5782057272817284,-0.9886458897185743
position,0.4932342194100714,-1.2515380651960755
position,0.6116439332391526,-1.0590987874556088
position,0.7149522343857109,-0.9951970113066121
position,0.8688598010234493,-0.9831600278656213
position,1.0933741470069753,-0.9643017312144565
position,1.3353692185308579,-0.9015395834440751
position,1.5228401344554119,-0.8074605022083683
position,1.6282980146905468,-0.767903844734665
position,1.595260724086776,-0.8326851819507668
position,1.4716210593652437,-1.0623118040436854
position,1.369685839464874,-1.293764761080664
position,1.360594520084108,-1.5564496807645776
position,1.3654175115192373,-1.783069375715726
position,1.4455297823367286,-1.9890940845353104
position,1.5145867182465267,-2.142006324394383
position,1.4528306389435266,-2.0979067548965062
position,1.4277571843238341,-2.077967698560019
position,1.3078630386443921,-2.029864424356893
position,1.1770135722982673,-1.9785756436743407
position,1.1757733869008706,-1.9782454776630074
position,0.906517789201256,-2.043119299564051
position,0.6436128041524115,-2.0934867019805337
position,0.6874869722017023,-2.103186214115414
position,0.909910237199378,-2.1955667660706384
position,0.733155211813406,-2.21778106730205
position,0.8792954166261284,-2.204716494746701
position,1.1192179581330848,-2.2184831246449894
position,1.3135625820158336,-2.142298159917125
position,1.4962046435319225,-2.032669099588805
position,1.3499330601266264,-2.1933734333048354
position,1.341915492537661,-2.2102777993498557
position,1.384702449827847,-2.150831856447609
position,1.3389403102156467,-2.344311290146485
position,1.34700263344901,-2.222896224218356
position,1.4745247963765546,-2.144288606037661
position,1.5719121853210876,-2.008267181533927
position,1.7370414231908178,-2.0341269774049495
position,1.88360878050419,-1.9998748307771614
position,2.1124123884016694,-1.9544406203268738
position,2.3401733663961246,-1.9114148417486279
position,2.2310107523981095,-1.9800337146006632
position,2.0322351143251907,-2.030597620236206
position,1.863167933644254,-2.1311787731538665
position,1.7809616126499925,-2.202755389518178
position,1.9844405104302125,-1.957212083508111
position,1.8933140130257735,-2.063940164264181
position,1.8129651166879195,-2.2166058068327192
position,1.6983493798272002,-2.4842519020198446
position,1.7978914385138904,-2.456497070094217
position,1.6238163138977288,-2.6181943064523776
position,1.407401363919375,-2.8186355283464724
position,1.199461215517085,-3.032847419377677
position,0.9623830517111659,-3.16659896193306
position,0.6949008701828899,-3.3026691220478726
position,0.475428351855701,-3.4743309978862955
position,0.21334710463429163,-3.5852803479054023
position,-0.043699596812222255,-3.7224829537297857
position,-0.13768116403300704,-3.8655699292896997
position,-0.18501379363420972,-3.7446657472837486
position,-0.4492106315255508,-3.7108719299369244
position,-0.2686697012345336,-3.8239784151485687
position,-0.07340049013044363,-3.7726018392101506
position,0.14010383711605615,-3.6656116174224183
position,0.21404965381323285,-3.618654220027486
position,0.1707296040366923,-3.6652829588412654
position,0.22570587623352778,-3.605565952124386
position,0.2999870648603647,-3.4885589547117846
position,0.3286860658023728,-3.3920016138319458
position,0.33012181737486634,-3.288333325197301
position,0.3093437932593981,-3.1657774389165625
position,0.40347069097516297,-3.389231326340947
position,0.43619288593613376,-3.605465907179621
position,0.43066305107620234,-3.8317695403827
position,0.49876788590842586,-3.6880752222693385
position,0.5642877034039574,-3.3877159917089545
goal,-4.0,8.0
position,0.5531687058916157,-3.4578460462745215
position,0.627665734358684,-3.2433430981521845
position,0.6525354203804957,-3.0056650014024218
position,0.7412869879846091,-2.741212260061456
position,0.7954919529298019,-2.4385005764578143
position,0.8136940511549565,-2.1695663002342664
position,0.765367629440854,-1.9281479869975287
position,0.7481001907054441,-1.7858031304046167
position,0.7247896920909644,-1.55649116413617
position,0.7373949968266297,-1.8713803175225934
position,0.6955768985664387,-1.5296235427858962
position,0.7163418862481699,-1.3833792453305793
position,0.684863853373294,-1.3435076260095133
position,0.7197098289426086,-1.4137539580084297
position,0.7566070605861441,-1.1570394004406015
position,0.73417008153847,-1.22014200770959
position,0.6795225742823988,-1.2820052305900884
position,0.7414146191437584,-1.202163218403502
position,0.8560139065822016,-1.1446912789528396
position,0.8755178994010954,-1.1090527868547508
position,0.7299718801026035,-1.1386895383130953
position,0.7008770182555165,-1.1531855951225332
position,0.9047264535518911,-1.1269368507197741
position,1.2088282419327896,-1.2203242932051073
position,1.4711683198948888,-1.2071253581484964
position,1.727497638294867,-1.339252078672754
position,1.7078790910852322,-1.2781586394664102
position,1.6997982804995377,-1.2339278134074427
position,1.7360185576966727,-1.3214038453386319
position,1.7894290624478773,-1.52325785180443
position,1.8167319931506614,-1.597712907748036
position,1.8818045084095987,-1.7409660715559594
position,1.8033033200281814,-1.5749160110072822
position,1.903756704774834,-1.7202424082159822
position,1.9552562942173088,-1.860934105744302
position,1.9757309513176602,-2.0359186248827905
position,1.9270168721445626,-2.197048789610421
position,1.8651308487003007,-2.3094716572076694
position,1.7663423883901543,-2.477801241133312
position,1.6593534481211958,-2.61978733070035
position,1.5051720167372251,-2.7269625070030803
position,1.3728735417126623,-2.76184150377169
position,1.6291658294951818,-2.7653135114761676
position,1.4185003709303774,-2.751215085552765
position,1.194201461283581,-2.729263291383838
position,0.9277042842330057,-2.7144869483833673
position,0.7006902273234492,-2.628181270610535
position,0.48573868737824805,-2.673152060690268
position,0.40650770659523205,-2.689654487711697
position,0.3034243983028544,-2.6134217133631688
position,0.24856266465618748,-2.588796050319786
position,0.3633396059307361,-2.672170737731395
position,0.3466192569094489,-2.771996226171405
position,0.3869680138949217,-2.8795473973014243
position,0.38889518381704097,-2.9999416318793792
position,0.37590041250798867,-3.254485483331873
position,0.31985910064440076,-3.4654003369017135
position,0.38191067483697794,-3.2801411387199777
position,0.39516544585852376,-3.078344865526271
position,0.4180247746711226,-3.1429359615383907
position,0.45616170141625234,-3.242945843134103
position,0.5097635798844403,-3.351202840571694
position,0.5584160041088418,-3.449997675744028
position,0.30852193328083694,-3.220519137624999
position,0.11111324812261468,-2.9570184079277437
position,-0.03631260150323696,-2.8316057262477097
position,0.04961339526408603,-2.8691128566480733
position,-0.20578608513857527,-2.7922153827708844
position,-0.44480206112758425,-2.7185109493844464
position,-0.35572845235517925,-2.7820624242333585
position,-0.28442441170536714,-2.8833594447946096
position,-0.26679648634196795,-2.8587215955520007
position,-0.2711302816647843,-2.8872664648399344
position,-0.2883083133673434,-2.8798206491194636
position,-0.2756310838038075,-2.8675002224641535
position,-0.3550833003187678,-2.648226143602215
position,-0.49651688441322156,-2.4581446576898704
position,-0.4382412274319647,-2.518806490606193
position,-0.4725897609474954,-2.487277340315833
position,-0.2718313317043025,-2.5880136666381297
position,-0.4289920160742149,-2.4583355974694405
position,-0.3838400066088929,-2.49320211906167
position,-0.13502780627473562,-2.4855686550325493
position,-0.02289339700214143,-2.488793820902669
position,-0.23011609592290405,-2.5186417405717685
position,-0.4955799380951791,-2.437122625792323
position,-0.7490226575492238,-2.4041680428982377
position,-0.950835231420201,-2.412656784624887
position,-1.211972056006505,-2.408919036126166
position,-1.3190359825084315,-2.4493718591907747
position,-1.4408789743004633,-2.410483137808785
position,-1.5941235775451446,-2.3309704999946343
position,-1.5036548757197223,-2.501276801726377
position,-1.4525149554539298,-2.509525312311036
position,-1.3849628402089114,-2.6536316138471023
position,-1.4520474080120311,-2.4284764210845453
position,-1.6289345633732175,-2.2941564017940985
position,-1.8194757384311353,-2.1064670692749616
position,-1.966401382074361,-1.9658254683429333
position,-1.971698115674316,-1.9828873851964557
position,-1.9027420554918304,-1.9575821096113435
position,-1.717056430470032,-1.9294331830569598
position,-1.4600603043023153,-1.8662655445602534
position,-1.2216090842060352,-1.844923303120533
position,-0.9714676727506296,-1.8426577681985994
position,-0.9611193591211584,-1.8358627631163462
position,-0.9371089408673328,-1.8533526980100343
position,-0.8724100540261516,-1.9000276582189464
position,-0.6091571921376585,-2.1674695868110874
position,-0.4129494923999468,-2.3720412860002917
position,-0.39706851406941207,-2.399284096090963
position,-0.45699954425354994,-2.253407870099929
position,-0.45256227186296943,-2.2104406873562885
position,-0.4348749129138732,-2.021060374346555
position,-0.4319611834286468,-1.909454726843349
position,-0.36520468951018725,-1.7644016600960557
position,-0.40432112501045275,-1.6772915501578265
position,-0.4336672731560278,-1.6946505220504293
position,-0.4299438786814212,-1.7419677507998395
position,-0.5247427559672132,-1.746119208150569
position,-0.5383908615553847,-1.771114430753504
position,-0.447943567564494,-1.7576682094104603
position,-0.42314850930355813,-1.7656485995307696
position,-0.6075832341049036,-1.5672249805019471
position,-0.5991502170626667,-1.6420211306833783
position,-0.8112638700250224,-1.3064494231424981
position,-1.019124252595264,-1.1407772371539004
position,-1.0473860834210862,-1.1513541870773518
position,-1.1535314246024606,-1.0250924203557326
position,-0.9821959544944442,-1.2346781271525076
position,-1.024680952540768,-1.1199909068544298
position,-1.0427688215699613,-1.1285509491564505
position,-1.0618732913622975,-1.0157744302565705
position,-1.0548821589655315,-0.8205801809537141
position,-1.0282317394573022,-0.7044314688921219
position,-1.04275779543509,-0.7470923887540252
position,-1.1889191316088896,-1.0254396213379426
position,-1.2819293825789781,-1.2359370275385613
position,-1.3008101681897788,-1.226262915123264
position,-1.1978516058058277,-1.0463455790563387
position,-1.1796580080125827,-1.0220174102135677
position,-1.199702390626347,-1.0858043710063747
position,-1.125505394027016,-1.0945474344831008
position,-0.8590769238329147,-1.0832611046975285
position,-0.7380588548425097,-1.0936453102980186
position,-0.8461631044408586,-1.0858459438310106
position,-1.0805152257717485,-1.005943635553139
position,-1.1540656702595435,-0.9509151087200761
position,-1.3184891243129795,-0.9360821605655696
position,-1.52625966905075,-1.0007720210549238
position,-1.724349223200696,-1.0261737198526422
position,-2.011063989026572,-1.1442994256029675
position,-2.0605277959251134,-1.1704956222471516
position,-2.3042846099767003,-1.2811850180145217
position,-2.146298548906448,-1.273381488331013
position,-1.9363152043759757,-1.2144428868370054
position,-1.8275226205426458,-1.1563888783491445
position,-1.5811584739690345,-0.9977202233578851
position,-1.4234240473663644,-0.8923690585441748
position,-1.3515640091397227,-0.7939625409906882
position,-1.2764444880208394,-0.6551961936164074
position,-1.2285265441335724,-0.45029427273024025
position,-1.2008827845314944,-0.2781404979418906
position,-1.1870475823345639,-0.10918126973875841
position,-1.2417504675731847,-0.16580383473976182
position,-1.3706714578955848,-0.44743568742708756
position,-1.4306898487265742,-0.6538220679614868
position,-1.561814852401442,-0.9084871845892085
position,-1.613394105015547,-1.156447635155028
position,-1.697446060024543,-1.4133235288632169
position,-1.7735719689216627,-1.64663234741212
position,-1.816653776946649,-1.9135513889124167
position,-1.8606128577861694,-2.154255073694579
position,-1.8603910450681163,-2.4183328479583377
position,-1.9113212866876146,-2.6779627836367985
position,-2.0073703027318026,-2.903045586531613
position,-2.0642009191158723,-3.0194556439737967
position,-2.08344003172745,-3.0318804209958063
position,-2.266402033910877,-3.148361320372901
position,-2.5172472143862556,-3.2606551020940175
position,-2.722815564572339,-3.4556642176689674
position,-2.863906528405427,-3.6041500743014048
position,-2.918143794566581,-3.8553389638422035
position,-2.989386090158698,-4.115947947942028
position,-3.022273852970196,-4.347168063573539
position,-3.0654062965233737,-4.305324013145719
position,-3.162420887698195,-4.087827785814727
position,-3.34873415814328,-3.8127009202082935
position,-3.4953016766689693,-3.5744873123925474
position,-3.714123232447998,-3.3597277328849993
position,-4.029983087131334,-3.2009000056118895
position,-3.8174268202579658,-3.3478568979554026
position,-3.9041788385632747,-3.279041626177229
position,-3.7594844032506716,-3.3641878996104215
position,-3.647438762338926,-3.394565856623577
position,-3.470656041223919,-3.4285763152679243
position,-3.2276244818134114,-3.3641131360009227
position,-3.0013057270084977,-3.4540655454377154
position,-2.735254527679674,-3.425032160348449
position,-2.4829044098991133,-3.3898301650905833
position,-2.4825401185857703,-3.391508514902985
position,-2.707433936327773,-3.508502233900696
position,-2.9385226356176863,-3.5938638486786156
position,-2.9670570781424557,-3.628630832484241
position,-2.654861613530582,-3.620459385450048
position,-2.5555244174183462,-3.554947696636129
position,-2.315871132603459,-3.628586810218515
position,-2.2344542502161477,-3.6588919730225222
position,-2.276303261136978,-3.6716331618682756
position,-2.2613859795697895,-3.6354919312840663
position,-2.177806032780095,-3.666181156536009
position,-2.117936019098151,-3.5975354590161475
position,-2.131679806614167,-3.5505462605293765
position,-2.083681570030027,-3.6712847726817834
position,-2.01447666135252,-3.9135981377623628
position,-1.976128083659552,-3.9773854012810825
position,-1.9566236460735555,-3.923176806762104
position,-1.8914551510635997,-3.7949027140626055
position,-1.7440012164872551,-3.415640883184918
position,-1.540768478466513,-3.3054486396285236
position,-1.4014471763028382,-3.081486411224844
position,-1.3310790574262625,-2.8988999187500437
position,-1.3004883358340338,-2.808928395648202
position,-1.310696136715039,-2.6271881562295123
position,-1.3351121305280378,-2.415464128509257
position,-1.4157821197335734,-2.2385868854757844
position,-1.4934319337928132,-2.139124625708817
position,-1.4007457569376507,-2.2713577978926023
position,-1.3241309392993026,-2.4542815206699617
position,-1.3052483271917716,-2.4549600369462397
position,-1.2915867454559866,-2.3198249078912045
position,-1.321203024156952,-2.4628703406537307
position,-1.3420301689889806,-2.523238512124115
position,-1.4090477056029669,-2.6313549084938392
position,-1.4579254883802681,-2.6819083299636763
position,-1.5621256319344279,-2.7547078893389876
position,-1.6542909301248776,-2.8531129549518157
position,-1.7877429751497387,-2.862455633059716
position,-1.9870980420051372,-2.879018902822922
position,-1.728830422379648,-2.929978897401131
position,-1.4667807725995257,-2.9814424489102023
position,-1.230452142402315,-3.0245700795136057
position,-1.3100470387749257,-2.9977783277551064
position,-1.534144819943636,-2.846718353735941
position,-1.4423871591494402,-2.9315933450083067
position,-1.5211018202357658,-2.881966503746649
position,-1.624305837702475,-2.764180495002194
position,-1.6757633788802844,-2.660674586711322
position,-1.731648430355222,-2.5604901345066
position,-1.7228161841901835,-2.859908352743871
position,-1.765785321094582,-2.7537832101383124
position,-1.7306728041258381,-2.8579441186350034
position,-1.7656289625343307,-2.95105456129458
position,-1.8276056226737947,-3.2141873055408903
position,-1.8652717461619444,-3.461409839059017
position,-1.8553712865627254,-3.739098774935061
position,-1.8689943993869802,-3.9773521650295414
position,-1.8889201278886845,-4.239443002285631
position,-1.96544732166494,-4.497543251668144
position,-1.9532879416695832,-4.473727169830499
position,-2.116309131612231,-4.653588639591033
position,-2.194524890697991,-4.804507807325174
position,-2.391858841968077,-5.010131501665771
position,-2.581486291060091,-5.134832983568054
position,-2.5509418706308935,-5.118488006593606
position,-2.5000762979311615,-5.100310249346612
position,-2.388576776233712,-5.088384895786099
position,-2.2640516566061235,-5.085095160461585
position,-2.150192323598842,-5.118677161577752
position,-2.079311896030645,-5.172856375844253
position,-2.0497592186135885,-5.193189859620731
position,-2.013083961530854,-5.268184101413031
position,-1.9730875027019303,-5.3342071531124455
position,-1.9126458140695997,-5.414465169946
position,-1.9299783471283922,-5.526476721625902
position,-1.9404728625474452,-5.569383517845964
position,-1.815913811348502,-5.377784911752236
position,-1.7738476516401478,-5.2624271485379905
position,-1.7110796868216689,-5.163842559222249
position,-1.5581714122400485,-5.020910712942972
position,-1.390578860701752,-4.9064850672605695
position,-1.61301122984651,-4.970920946088663
goal,1.0,6.0
position,-1.6360313096463657,-4.984071700364699
position,-1.4598716196667596,-4.87841975356025
position,-1.2503683878137888,-4.72050894848208
position,-1.1496254108662967,-4.56299678292957
position,-0.8943539188961869,-4.28690227845613
position,-0.8360330230130554,-4.067692661416723
position,-0.7208484029543267,-3.8120017259177184
goal,6.0,5.0
position,-0.6738202759135056,-3.6698678293243123
position,-0.709760596246945,-3.825948110291066
position,-0.6874365256141067,-4.074874429948692
position,-0.6924265995879857,-4.090633494644867
position,-0.65743139680774,-3.8337635337969505
position,-0.6793059350036429,-3.5750097816239146
position,-0.7139604290110851,-3.2977469270915893
position,-0.7473418058006281,-3.039705285067261
position,-0.7951650933332067,-2.762648318034955
position,-0.8766711176757882,-2.5026835055246526
position,-0.9752878947550949,-2.1783912153930145
position,-1.0141808163985906,-1.9877054445855384
position,-1.001421303491263,-2.055592433556783
position,-0.9184554128361472,-2.123186463607976
position,-0.9338279928548628,-2.1201311258782183
position,-0.8033904165452299,-2.2489495749807435
position,-0.7162335809782309,-2.501504885399843
position,-0.6740893450691313,-2.7949613146656387
position,-0.6741386561480976,-3.05633999540193
position,-0.6391788113159457,-3.2650294578228976
position,-0.577170842166487,-3.4784376649145576
position,-0.5009303481500134,-3.756606807916805
position,-0.4827356121895565,-3.724912026237861
position,-0.5891637300116748,-3.6615926244463934
position,-0.7237418958073925,-3.6297357110276356
position,-0.9578548944790539,-3.5536017239087445
position,-1.2139000008821432,-3.4828141975194002
position,-1.3455195860258582,-3.465448539196656
position,-1.5074737610585958,-3.4986528681972375
position,-1.4751646747616316,-3.477625819248031
position,-1.3966767648077498,-3.4767404135548508
position,-1.3124112902357645,-3.439568724385341
position,-1.2268250115108648,-3.3831041413538423
position,-1.473392950358791,-3.64792675471982
position,-1.6880627249201072,-3.8929778569005737
position,-1.5470840341432501,-3.6695093537255894
position,-1.3685971478206602,-3.4522504541400294
position,-1.3534326225700868,-3.443062612274884
position,-1.3053444498448001,-3.4258084323825693
position,-1.0311478511698908,-3.220602041409677
position,-0.8941432820017753,-3.181027583107922
position,-0.787248398739593,-3.1547815099555203
position,-0.6557265279023823,-3.108268862677509
position,-0.32723459566812674,-3.0205099801603237
position,-0.22407706745537972,-2.8654220938886157
position,-0.19760037756486495,-2.8389763483817054
position,-0.17716477043341755,-2.8210316534752717
position,-0.14266203663390262,-2.7162338551409007
position,-0.1093067192653554,-2.6291679845146394
position,-0.0807476031039365,-2.5517663307264566
position,-0.08416569547437783,-2.450626698021447
position,-0.11953693394829969,-2.380843159989985
position,-0.1459946458106794,-2.286264587527516
position,-0.1249241503755724,-2.298401489563225
position,-0.026260528169827095,-2.3294210728044344
position,0.02755316267673992,-2.323990353508491
